id	gender	ethnic	soc_eco	schooltype	programtype	read	write	math	science	social
1	1	1	1	1	3	34	44	40	39	41
2	1	1	2	1	3	39	41	33	42	41
3	0	1	1	1	2	63	65	48	63	56
4	1	1	1	1	2	44	50	41	39	51
5	0	1	1	1	2	47	40	43	45	31
6	1	1	1	1	2	47	41	46	40	41
7	0	1	2	1	2	57	54	59	47	51
8	1	1	1	1	2	39	44	52	44	48
9	0	1	2	1	3	48	49	52	44	51
10	1	1	2	1	1	47	54	49	53	61
11	0	1	2	1	2	34	46	45	39	36
12	0	1	2	1	3	37	44	45	39	46
13	1	1	2	1	3	47	46	39	47	61
14	0	1	3	1	2	47	41	54	42	56
15	0	1	3	1	3	39	39	44	26	42
16	0	1	1	1	3	47	31	44	36	36
17	1	1	2	1	2	47	57	48	44	41
18	0	1	2	1	3	50	33	49	44	36
19	1	1	1	1	1	28	46	43	44	51
20	0	1	3	1	2	60	52	57	61	61
21	0	1	2	1	1	44	44	61	50	46
22	0	1	2	1	3	42	39	39	56	46
23	1	2	1	1	2	65	65	64	58	71
24	0	2	2	1	2	52	62	66	47	46
25	1	2	2	1	1	47	44	42	42	36
26	1	2	3	1	2	60	59	62	61	51
27	0	2	2	1	2	53	61	61	57	56
28	1	2	2	1	1	39	53	54	50	41
29	0	2	1	1	1	52	44	49	55	41
30	1	2	3	1	2	41	59	42	34	51
31	1	2	2	2	1	55	59	52	42	56
32	1	2	3	1	3	50	67	66	66	56
33	1	2	1	1	2	57	65	72	54	56
34	1	1	3	2	2	73	61	57	55	66
35	1	1	1	2	1	60	54	50	50	51
36	1	3	1	1	1	44	49	44	35	51
37	1	3	1	1	3	41	47	40	39	51
38	0	3	1	1	2	45	57	50	31	56
39	1	3	3	1	2	66	67	67	61	66
40	0	3	1	1	1	42	41	43	50	41
41	0	3	2	1	2	50	40	45	55	56
42	1	3	2	1	3	46	52	55	44	56
43	1	3	1	1	2	47	37	43	42	46
44	1	3	1	1	3	47	62	45	34	46
45	1	3	1	1	3	34	35	41	29	26
46	1	3	1	1	2	45	55	44	34	41
47	1	3	1	1	2	47	46	49	33	41
48	0	3	2	1	2	57	55	52	50	51
49	0	3	3	1	3	50	40	39	49	47
50	0	3	2	1	1	50	59	42	53	61
51	1	3	3	1	1	42	36	42	31	39
52	1	3	1	1	2	50	46	53	53	66
53	0	3	2	1	3	34	37	46	39	31
54	1	3	1	2	1	47	54	46	50	56
55	1	3	2	2	2	52	49	49	44	61
56	0	4	2	1	3	55	45	46	58	51
57	1	4	2	1	2	71	65	72	66	56
58	0	4	2	1	3	55	41	40	44	41
59	1	4	2	1	2	65	67	63	55	71
60	0	4	2	1	2	57	65	51	63	61
61	1	4	3	1	2	76	63	60	67	66
62	0	4	3	1	1	65	65	48	63	66
63	1	4	1	1	1	52	65	60	56	51
64	1	4	3	1	3	50	52	45	58	36
65	1	4	2	1	2	55	54	66	42	56
66	1	4	2	1	3	68	62	56	50	51
67	0	4	1	1	3	37	37	42	33	32
68	0	4	2	1	2	73	67	71	63	66
69	1	4	1	1	3	44	44	40	40	31
70	0	4	1	1	1	57	52	41	47	57
71	1	4	2	1	1	57	62	56	58	66
72	1	4	2	1	3	42	54	47	47	46
73	1	4	2	1	2	50	52	53	39	56
74	1	4	2	1	2	57	50	50	51	58
75	0	4	2	1	3	60	46	51	53	61
76	0	4	3	1	2	47	52	51	50	56
77	1	4	1	1	2	61	59	49	44	66
78	1	4	2	1	2	39	54	54	53	41
79	1	4	2	1	2	60	62	49	50	51
80	0	4	3	1	2	65	62	68	66	66
81	0	4	1	1	2	63	43	59	65	44
82	1	4	3	1	2	68	62	65	69	61
83	1	4	2	1	3	50	62	41	55	31
84	0	4	2	1	1	63	57	54	58	51
85	0	4	2	1	1	55	39	57	53	46
86	0	4	3	1	1	44	33	54	58	31
87	1	4	2	1	1	50	52	46	50	56
88	1	4	3	1	2	68	60	64	69	66
89	1	4	1	1	3	35	35	40	51	33
90	1	4	3	1	2	42	54	50	50	52
91	1	4	3	1	3	50	49	56	47	46
92	1	4	3	1	1	52	67	57	63	61
93	1	4	3	1	2	73	67	62	58	66
94	0	4	3	1	2	55	49	61	61	56
95	0	4	3	1	2	73	60	71	61	71
96	1	4	3	1	2	65	54	61	58	56
97	0	4	3	1	2	60	54	58	58	61
98	1	4	1	1	3	57	60	51	53	37
99	1	4	3	1	1	47	59	56	66	61
100	1	4	3	1	2	63	65	71	69	71
101	1	4	3	1	2	60	62	67	50	56
102	0	4	3	1	2	52	41	51	53	56
103	0	4	3	1	2	76	52	64	64	61
104	0	4	3	1	2	54	63	57	55	46
105	1	4	2	1	2	50	41	45	44	56
106	1	4	2	1	3	36	44	37	42	41
107	0	4	1	1	3	47	39	47	42	26
108	0	4	2	1	1	34	33	41	36	36
109	1	4	2	1	1	42	39	42	42	41
110	1	4	2	1	3	52	55	50	54	61
111	1	4	1	1	1	39	54	39	47	36
112	1	4	2	1	2	52	59	48	55	61
113	0	4	2	1	2	44	52	51	63	61
114	0	4	3	1	2	68	65	62	55	61
115	0	4	1	1	1	42	49	43	50	56
116	1	4	2	1	2	57	59	54	50	56
117	0	4	3	1	3	34	49	39	42	56
118	1	4	2	1	1	55	62	58	58	61
119	1	4	1	1	1	42	57	45	50	43
120	1	4	3	1	2	63	52	54	50	51
121	1	4	2	1	3	68	59	53	63	61
122	1	4	2	1	2	52	59	58	53	66
123	0	4	3	1	1	68	59	56	63	66
124	1	4	1	1	3	42	54	41	42	41
125	1	4	1	1	2	68	65	58	59	56
126	0	4	2	1	1	42	31	57	47	51
127	0	4	3	1	2	63	59	57	55	56
128	0	4	3	1	2	39	33	38	47	41
129	1	4	1	1	1	44	44	46	47	51
130	1	4	3	1	1	43	54	55	55	46
131	1	4	3	1	2	65	59	57	46	66
